breathing rate	activity
30	12
30	12
30	12
30	12
30	12
30	12
30	12
30	12
30	12
30	12
30	12
30	12
30	12
30	12
30	12
30	12
30	12
30	12
30	12
30	12
30	12
30	12
30	12
30	12
30	12
30	12
30	12
27.777779	12
25.862068	1
25.862068	1
25.862068	1
25.862068	1
25.862068	1
25.862068	1
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
16.666666	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
17.44186	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
15.957447	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
19.23077	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
7.211538	2
12.295082	2
12.295082	2
12.295082	2
12.295082	2
12.295082	2
12.295082	2
12.295082	2
12.295082	2
12.295082	2
12.295082	2
12.295082	2
12.295082	2
12.295082	2
12.295082	2
5.395683	2
5.395683	2
5.395683	2
5.395683	2
5.395683	2
5.395683	2
5.395683	2
5.395683	2
5.395683	2
5.395683	2
5.395683	2
5.395683	2
5.395683	2
5.395683	2
5.395683	2
5.395683	2
5.395683	2
5.395683	2
5.395683	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
32.608696	2
